id	initL	initR	finalL	finalR	message (DEL=deleted NOC=no change MOD=modified)
160	0	7432	0	7430	MOD	skipped 0 overlaps; used 21 overlaps
161	0	13929	11	13928	MOD	skipped 0 overlaps; used 44 overlaps
162	0	3033	117	3021	MOD	skipped 0 overlaps; used 21 overlaps
163	0	964	133	963	DEL	skipped 0 overlaps; used 19 overlaps
164	0	2941	42	2896	MOD	skipped 0 overlaps; used 11 overlaps
165	0	8564	18	8563	MOD	skipped 0 overlaps; used 43 overlaps
166	0	14648	362	14632	MOD	skipped 0 overlaps; used 37 overlaps
167	0	7363	180	7351	MOD	skipped 0 overlaps; used 32 overlaps
168	0	3218	76	3218	MOD	skipped 0 overlaps; used 16 overlaps
169	0	12830	196	12821	MOD	skipped 0 overlaps; used 61 overlaps
170	0	11679	43	11552	MOD	skipped 0 overlaps; used 25 overlaps
171	0	1737	242	921	DEL	skipped 0 overlaps; used 17 overlaps
172	0	9757	1	9757	MOD	skipped 0 overlaps; used 40 overlaps
173	0	1386	28	1385	MOD	skipped 0 overlaps; used 16 overlaps
174	0	15179	3507	15169	MOD	skipped 0 overlaps; used 60 overlaps
175	0	10772	596	10694	MOD	skipped 0 overlaps; used 31 overlaps
176	0	10143	1282	10142	MOD	skipped 0 overlaps; used 36 overlaps
177	0	15289	8	15269	MOD	skipped 0 overlaps; used 66 overlaps
178	0	3084	407	3004	MOD	skipped 0 overlaps; used 19 overlaps
179	0	4431	314	4426	MOD	skipped 0 overlaps; used 20 overlaps
180	0	4765	18	4743	MOD	skipped 0 overlaps; used 19 overlaps
181	0	0	0	0	NOV
182	0	9258	0	9258	NOV
183	0	1780	33	1779	MOD	skipped 0 overlaps; used 23 overlaps
184	0	3489	25	3488	MOD	skipped 0 overlaps; used 28 overlaps
185	0	2562	0	2537	MOD	skipped 0 overlaps; used 19 overlaps
186	0	9609	0	9609	NOV
187	0	18716	151	18712	MOD	skipped 0 overlaps; used 184 overlaps
188	0	18718	74	18717	MOD	skipped 0 overlaps; used 55 overlaps
189	0	1934	14	1924	MOD	skipped 0 overlaps; used 14 overlaps
190	0	19255	214	19167	MOD	skipped 0 overlaps; used 52 overlaps
191	0	2026	0	2006	MOD	skipped 0 overlaps; used 17 overlaps
192	0	7746	3984	7727	MOD	skipped 0 overlaps; used 32 overlaps
193	0	3764	22	3763	MOD	skipped 0 overlaps; used 17 overlaps
194	0	2278	121	2274	MOD	skipped 0 overlaps; used 27 overlaps
195	0	2529	1588	2498	DEL	skipped 0 overlaps; used 7 overlaps
196	0	3846	76	3845	MOD	skipped 0 overlaps; used 22 overlaps
197	0	5303	252	5300	MOD	skipped 0 overlaps; used 23 overlaps
198	0	4545	852	4522	MOD	skipped 0 overlaps; used 15 overlaps
199	0	11326	22	11249	MOD	skipped 0 overlaps; used 35 overlaps
200	0	19502	309	19483	MOD	skipped 0 overlaps; used 52 overlaps
201	0	1813	40	1767	MOD	skipped 0 overlaps; used 13 overlaps
202	0	0	0	0	NOV
203	0	14111	539	14103	MOD	skipped 0 overlaps; used 32 overlaps
204	0	2688	0	2688	NOV
205	0	7884	4	7883	MOD	skipped 0 overlaps; used 25 overlaps
206	0	6322	284	6322	MOD	skipped 0 overlaps; used 28 overlaps
207	0	7111	1	7110	MOD	skipped 0 overlaps; used 17 overlaps
208	0	1498	336	1448	MOD	skipped 0 overlaps; used 8 overlaps
209	0	12842	26	12795	MOD	skipped 0 overlaps; used 28 overlaps
210	0	3418	253	806	DEL	skipped 0 overlaps; used 10 overlaps
211	0	20875	115	20875	MOD	skipped 0 overlaps; used 60 overlaps
