     read       raw corrected
       id    length    length
--------- --------- ---------
      949     17211     16093
      950     11692     11692
      951      7444      7072
      952     11681     11104
      953     25454     24020
      954      5056      5056
      955      2679      2518
      956     11484     10925
      957      7009      6622
      958      3930      3701
      959     11763     11443
      960     11522     11326
      961      4229      3805
      962      9783      9246
      963      2710      2253
      964     13396     12790
      965      2398      2165
      966     21768     20107
      967     26226     25466
      968     11008     10128
      969     12037     10781
      970      6300      5986
      971     14779     15027
      972     13242     12777
      973      1513      1513
      974      1584      1584
      975      2982      2803
      976     20226     19712
      977     15278     15596
      978     24037     23191
      979      6245      6240
      980      8144      7938
      981      2734      2577
      982     19810     20310
      983      3870      3539
      984     14286     13686
      985      1299      1270
      986      8438      8139
      987     13719     13678
      988     21771     21019
      989      3546      3388
      990      3478      3385
      991      4086      3836
      992      7785      7260
      993     14819     14019
      994      1328      1220
      995     10741     10211
      996      5997      5646
      997      4438      4037
      998     17011     16308
      999      4134      3809
     1000      4869      4847
     1001      4987      4862
     1002      5320      5118
     1003     15637     14758
     1004     10055      9807
     1005      3537      3331
     1006      2113      2083
     1007     16188     15526
     1008      7104      6555
     1009      8096      7770
     1010      5507      5148
     1011      4768      4501
     1012      4612      4569
     1013      3038      2832
     1014      3720      3552
     1015      2802      2486
     1016     12930     12930
     1017      1840      1799
     1018      2255      2147
     1019      3216      3082
     1020      3341      3120
     1021      2728      2728
     1023     17189     16288
     1024     14853     14997
     1025     15796     15626
     1026     14023     13230
     1027     13162     12928
     1028     12974     12145
     1029      7173      7173
     1030      3555      3515
     1031      3414      3284
     1032      4132      4186
     1033     16813     17702
     1034      1870      1880
     1036     17688     18202
     1037      4810      4810
     1038     16474     15177
     1039     15320     14797
     1040      1159      1078
     1041      1849      1780
     1042      1847      1762
     1043      1840      1784
     1044      1151      1151
     1045      1031       889
     1046      1719      1628
     1047      1708      1632
     1048      1687      1633
     1049      6265      6260
     1050      1660      1634
     1051      3595      3534
     1052     40196     40196
     1053      4398      4171
     1054      4492      4297
     1055     10189      9380
     1056     16305     15758
     1057      7275      7060
     1058      7025      6946
     1059      2470      2313
     1060     12828     12405
     1061     13655     12857
     1062     21044     20209
     1063     10675     10335
     1064      7413      7163
     1065     15523     15266
     1066     13377     13398
     1067      8667      8378
     1068      6737      6737
     1069     12222     12448
     1070      5603      5293
     1071      7496      7217
     1072      2047      2047
     1073      2213      2019
     1074     17639     16638
     1075     12132     11598
     1076      6001      5777
     1077      2069      1975
     1078      9839      8727
     1079     22262     21753
     1080     12651     11559
     1081      5670      5477
     1082      9253      8230
     1083      6639      6317
     1084     11280     10364
     1085     20023     19556
     1086     11350     10484
     1087      1400      1400
     1088      5427      5029
     1089      8453      7714
     1090      3726      3385
     1091      2814      2835
     1092     17057     16983
     1093     14488     13673
     1094      3479      3223
     1095      6124      5892
     1096      8913      8913
     1097      2043      2055
     1098      2105      2049
     1099      2109      2053
     1100      2126      2059
     1101      9735      9268
     1102     15744     14761
     1103      2792      2726
     1104      2936      2749
     1105     20259     20150
     1106     23218     23503
     1107      4029      3794
     1108      2871      2611
     1109     10039      9553
     1110      5541      5084
     1111      3714      3556
     1112      4993      4993
     1113      2267      2106
     1114      8459      8459
     1115      4237      3776
     1116     12610     11318
     1117     19088     18557
     1118     21772     21097
     1119      6158      5215
     1120     20821     20192
     1121      2397      2179
     1122      9858      9364
     1123      1954      1841
     1124      1912      1827
     1125      1894      1827
     1126      1921      1838
     1127     13633     13195
     1128      2893      2709
     1129     14011     12992
     1130      6164      6450
     1131      7786      7110
     1132     17233     16525
     1133      1864      1864
     1134     15767     15879
     1135      8813      8252
     1136      3779      3531
     1137      7977      7392
     1138      1744      1674
     1139      3744      3546
     1140      6108      5293
     1141      2970      2692
     1142      3858      3475
     1143      2685      2563
     1144      2208      2089
     1145     11000     10426
     1146      3787      3664
     1147      6140      5831
     1148      8556      7323
     1149      1411      1342
     1150      1666      1602
     1151     26224     25126
     1152     11336     10282
     1153      3166      3095
     1154      3108      3073
     1155     18463     16862
     1156      3757      3606
     1157     18673     17150
     1158     11757     11558
     1159     19894     19636
     1160      1141      1150
     1161      8317      7933
     1162      2666      2504
     1163      2532      2263
     1164     11673     11486
     1165      8668      8405
     1166     13877     12955
     1167      1436      1405
     1168      9245      9146
     1169      2559      2490
     1170      4829      4479
     1171      9316      8783
     1172      8752      8605
     1173     20588     19943
     1174     17475     16455
     1175     20571     19262
     1176     12852     12437
     1177      4969      4714
     1178      4697      4535
     1179      2562      2475
     1180      9144      8772
     1181      1308      1308
     1182      7294      7397
     1183      3295      3085
     1184     17665     17450
     1185     13975     13908
     1186      8929      9384
     1187      4423      4114
     1188      9198      8817
     1189     32068     30644
     1190      3516      3441
     1191      4447      4123
     1192      7404      7002
     1193     11652     11059
     1194     18857     18552
     1195     13978     13134
     1196     17695     16713
     1197      2542      2343
     1198     15270     13305
     1199      8211      7944
     1200      7497      7068
     1201      1436      1374
     1202     13755     12938
     1203      1115      1098
     1204     20037     19176
     1205      7636      7180
     1206      4233      4008
     1207      8391      7812
     1208     23268     22469
     1209      4354      4300
     1210      1454      1395
     1211      9665      9349
     1212      9172      8491
     1213      8954      8587
     1214     10373      9933
     1215     11096     10732
     1216     24037     22519
     1217      3646      3453
     1218      2700      2593
     1219      4615      4293
     1220     11933     11496
     1221      5124      4723
     1222     13064     12568
     1223      1691      1691
     1224      5130      4732
     1225      5133      4599
     1226      4783      4572
     1227      5535      5302
     1228      7753      7113
     1229     23592     20296
     1230     14586     13921
     1231      1942      1791
     1232      8985      8443
     1233      1752      1669
     1234      1760      1699
     1235      1535      1535
     1236      8164      7295
     1237      7327      7157
     1238     26125     24403
     1239      9618      8839
     1240     10860     10540
     1241     22267     22261
     1242     13567     13002
     1243     21307     20607
     1244      1540      1382
     1245      6862      6258
     1246      7307      6911
     1247     20544     21051
     1248     16168     15575
     1249      9094      8757
     1250     15665     15044
     1251      9107      9004
     1252      3043      2957
     1253      2947      2964
     1254      2193      1991
     1255      2558      2558
     1256      4689      4457
     1257      7251      6882
     1258     16511     16225
     1259      1607      1574
     1260      6290      6122
     1261      5898      5179
     1262      8167      7480
     1263     17034     16580
     1264     16816     16770
     1265      6988      6300
     1266      4847      4263
     1267     11074     10487
     1268      2709      2648
     1269     15589     14383
     1270     20648     19602
     1271      5246      4637
     1272      9462      9064
     1273      4580      4320
     1274      9406     10045
     1275      4309      4108
     1276     16513     15436
     1277     18693     17531
     1278      1048       946
     1279      9305      8648
     1280     13245     12779
     1281      2872      2993
     1282      4924      4701
     1283      7075      7292
     1284      4948      5065
     1285     17321     15688
     1286      5973      5714
     1287      8649      8166
     1288      9240      8463
     1289     31497     31497
     1290      3944      3873
     1291     17640     16865
     1292      9964      9806
     1293     16314     15385
     1294      7991      7580
     1295      8053      7749
     1296     14936     13496
     1297      3041      3041
     1298      1356      1298
     1299      1311      1296
     1300      1345      1299
     1301      1330      1300
     1302      1289      1287
     1303      1315      1295
     1304     14122     13634
     1305      7882      7914
     1306      2694      2560
     1307      2693      2556
     1308      3060      3076
     1309     24851     23160
     1311      1053      1013
     1312      6362      6107
     1313      2879      2565
     1314     28983     25633
     1315     12599     11904
     1316     16439     15980
     1317      2139      2024
     1318      5728      5314
     1319      1416      1372
     1320      1799      1727
     1321      2213      2013
     1322     14130     13570
     1323     28624     27699
     1324     25943     23957
     1325      9016      9016
     1326      2579      2500
     1327     19966     20123
     1328     20694     19793
     1329      2778      2810
     1330      5510      5077
     1331      3767      3338
     1332      1745      1609
     1333      1986      1920
     1334     17751     17510
     1335     36217     34942
     1336     16392     17007
     1337     14545     13706
     1338     11013      9449
     1339      4092      3549
     1340     19850     19289
     1341     10580      9988
     1342      6627      6627
     1343     12618     11891
     1344     17748     17218
     1345      4317      3955
     1346      1778      1676
     1347      8319      7721
     1348     12053     11403
     1349      4335      3995
     1350      8322      7948
     1351      7211      6779
     1352     22140     20582
     1353     11446     10944
     1354     10591      9739
     1355      3379      3154
     1356      9656      8746
     1357      3389      3428
     1358     15884     13994
     1359      3580      3448
     1360      9487      9013
     1361     11923     10969
     1362      5602      5329
     1363      8734      8597
     1364     16401     15542
     1366     30178     28174
     1367      1089      1089
     1368      3362      3148
     1369     14374     13593
     1370     14684     14048
     1371      3665      3517
     1372      1934      1805
     1373      1881      1752
     1374     11292     11294
     1375     20859     20170
     1376      5508      5415
     1377     16751     15635
     1378     19689     18303
     1379     19403     18535
     1380     17499     17668
     1381     24797     23812
     1382     12280     11922
     1383     19336     18335
     1384      1550      1470
     1385     21417     20047
     1386     12216     11553
     1387      1938      1821
     1388     15376     13462
     1389     16559     15575
     1390     21385     20252
     1391      5658      5429
     1392      5289      5089
     1393      5395      5086
     1394     17778     17197
     1395     16722     15562
     1396     10706      9349
     1397      2211      2093
     1398      1627      1653
     1400     10620      9823
     1401      1391      1391
     1402      9024      8343
     1403      7641      7783
     1404      7482      7051
     1405      3642      3249
     1406     13237     12549
     1407      6406      6031
     1408     16547     15101
     1409      8862      6334
     1410     19340     17474
     1411      9880      8830
     1412     13203     11172
     1413      6410      5562
     1414     13775     13132
     1415      6424      6271
     1416      9624      9370
     1417      5053      4846
     1418      1112      1015
     1420      5137      5017
     1421      8139      8019
     1422     10973     10764
     1423     11762     11463
     1424     16942     16892
     1425      1515      1515
     1426     16555     14500
     1427      1696      1558
